#Q2	x	y	sigmar	total error	StatErr	Uncor	tot_noproc %
6.5000E-01	3.2000E-03	2.0072E-03	2.2360E-01	0.01509718132	5.8165E00	3.1847E00	6.75187E00
8.5000E-01	1.2400E-05	6.7736E-01	5.5217E-01	0.023335532455	2.5727E00	2.5195E00	4.22615E00
8.5000E-01	2.0000E-05	4.1996E-01	6.1122E-01	0.036257631522	1.9576E00	5.3584E00	5.93201E00
8.5000E-01	3.9800E-05	2.1104E-01	5.5833E-01	0.018252701028	2.0260E00	1.8580E00	3.26916E00
8.5000E-01	5.0000E-05	1.6798E-01	5.4141E-01	0.03184465338	2.9272E00	4.5229E00	5.88180E00
8.5000E-01	1.0000E-04	8.3992E-02	5.0299E-01	0.029845163145	2.6452E00	3.7763E00	5.93355E00
8.5000E-01	2.5100E-04	3.3463E-02	3.9692E-01	0.028181200924	6.0073E00	2.9824E00	7.09997E00
8.5000E-01	8.0000E-04	1.0499E-02	3.4934E-01	0.019282135706	4.6060E00	2.6662E00	5.51959E00
8.5000E-01	3.2000E-03	2.6248E-03	3.0760E-01	0.01676875248	4.5436E00	2.8276E00	5.45148E00
1.2000E00	1.7600E-05	6.7373E-01	5.9235E-01	0.024878522295	2.5570E00	2.1624E00	4.19997E00
1.2000E00	2.0000E-05	5.9289E-01	6.6728E-01	0.025890864368	2.6267E00	2.5096E00	3.88006E00
1.2000E00	3.2000E-05	3.7055E-01	6.8516E-01	0.023762856152	1.6735E00	2.7294E00	3.46822E00
1.2000E00	6.3100E-05	1.8792E-01	6.4885E-01	0.01605228946	1.3923E00	1.4658E00	2.47396E00
1.2000E00	8.0000E-05	1.4822E-01	5.9452E-01	0.018369003344	2.0450E00	1.3593E00	3.08972E00
1.2000E00	1.3000E-04	9.1213E-02	5.4274E-01	0.031246518732	2.4265E00	4.9658E00	5.75718E00
1.2000E00	1.5800E-04	7.5049E-02	5.3274E-01	0.013328302416	1.5446E00	1.3542E00	2.50184E00
1.2000E00	3.9800E-04	2.9793E-02	4.9272E-01	0.020734741584	2.1150E00	3.3647E00	4.20822E00
1.2000E00	1.3000E-03	9.1213E-03	3.7212E-01	0.017339638428	3.5495E00	2.6716E00	4.65969E00
1.2000E00	5.0000E-03	2.3715E-03	2.9790E-01	0.01618279191	4.5054E00	2.6071E00	5.43229E00
1.5000E00	1.8530E-05	7.9990E-01	6.1878E-01	0.044427847098	3.1432E00	3.4756E00	7.17991E00
1.5000E00	2.1960E-05	6.7496E-01	6.9589E-01	0.021552270012	1.9420E00	1.7846E00	3.09708E00
